index,page,name,category,image,price,rating,rating_count,delivery,is_best_seller,is_overall_pick
40,2,"REIDEA Candle Lighter Electronic Arc Windproof Flameless USB Rechargeable Lighter with Safe Button for Home Kitchen, S4, Champagne Gold",electronics,https://m.media-amazon.com/images/I/51gjfQU2M6L._AC_UY218_.jpg,$11.99,4.5,,"Delivery Tue, Dec 17",0,0
41,2,Nintendo Switch – OLED Model w/ Neon Red & Neon Blue Joy-Con,electronics,https://m.media-amazon.com/images/I/7148mbvrbWL._AC_UY218_.jpg,"Oct 8, 2021 | by Nintendo",4.8,37144,,0,0
42,2,Nintendo Switch Lite - Coral - Switch,electronics,https://m.media-amazon.com/images/I/51a34cWPBhL._AC_UY218_.jpg,ESRB Rating: Everyone,4.8,56412,,0,0
43,2,"Zeroffi Starlink Mini Case for Travel, Starlink Mini Carrying Case for Starlink Mini and Accessories",electronics,https://m.media-amazon.com/images/I/714xT3kIxCL._AC_UY218_.jpg,$49.99,4.8,8,"Delivery Thu, Dec 12 to Palestinian Territories",0,0
44,2,"RJ45 Ethernet Splitter Cable, Splitter 1 to 3 Port, Ethernet Switch Adapter Cable for Cat5/5e/6/7/8Cable",electronics,https://m.media-amazon.com/images/I/51P0aYA7RIL._AC_UY218_.jpg,$7.99,3.2,88,"Delivery Thu, Dec 12 to Palestinian Territories",0,0
45,3,TBS6909X DVB-S/ S2/ S2X 8 Tuner PCI Express Digital Satellite TV Card for Live TV,electronics,https://m.media-amazon.com/images/I/61glvVnrxUS._AC_UY218_.jpg,$310.00,4.5,46,"FREE delivery Wed, Dec 18 to Palestinian Territories",0,0
46,3,Handheld Inkjet Printer Gun Z10 Printing Height 0.08-0.5 Inch Inkjet Coder with Original Fast-Drying Ink for Text QRCode/Barcode/Batch Number/Label/Image/Date Printer for Any Surface,electronics,https://m.media-amazon.com/images/I/71XaxFsDjrL._AC_UY218_.jpg,$149.99,3.5,12,"Delivery Tue, Dec 17",0,0
47,3,Electric Candle Lighter Plasma Arc Lighters Windproof & Flameless with USB Rechargeable Battery Double Safety Switch (Obisidian Black),electronics,https://m.media-amazon.com/images/I/51VfDACoTBL._AC_UY218_.jpg,$9.99,4.4,11818,"Delivery Tue, Dec 17",1,0
48,3,"Compressed Air - Electric Air Duster, 50 mph Wind Variable Speed Canned Air for PC/Computer/Blaster/Electronics/Home Cleaning, 110000RPM Air Blower to Spray Air Can Dust Off Keyboard Cleaner",electronics,https://m.media-amazon.com/images/I/713rMBJzPRL._AC_UY218_.jpg,$37.99,4.9,62,"Delivery Tue, Dec 17",0,0
49,3,"MATEIN Cord Organizer Bag, Large Electronics Organizer Travel Case Cable Storage for Electronic Accessories, Shockproof Portable Double Layer Tech Bags for Power Bank, Charging, Tablet(Up to 12.1inch)",electronics,https://m.media-amazon.com/images/I/71M7KkGEQjL._AC_UY218_.jpg,$29.99,4.6,1351,"FREE delivery Thu, Dec 12 to Palestinian Territories on $49 of eligible items",1,0
50,3,Snap Circuits Classic SC-300 Electronics Exploration Kit | Over 300 Projects | Full Color Manual Parts | STEM Educational Toy for Kids 8+ 2.3 x 13.6 x 19.3 inches,electronics,https://m.media-amazon.com/images/I/91Hgl5CqLdL._AC_UY218_.jpg,$48.99,4.8,27373,"FREE delivery Thu, Dec 12 to Palestinian Territories on $49 of eligible items",0,0
51,3,"Ultrasonic Pest Repeller, Electronic Pest Repellent Ultrasonic Plug in for Roach, Mosquito, Mice, Spider, Ant, Flea, Bug, Pest Control for House Garage Office Hotel",electronics,https://m.media-amazon.com/images/I/51CDMDT85SL._AC_UY218_.jpg,$17.59,4.6,1169,"FREE delivery Thu, Dec 12 to Palestinian Territories on $49 of eligible items",0,0
52,3,"How to Diagnose and Fix Everything Electronic, Third Edition",electronics,https://m.media-amazon.com/images/I/71L9HLbYwmL._AC_UY218_.jpg,$35.00,,,"Delivery Wed, Jan 8 to Palestinian Territories",0,0
53,3,"2024 Upgraded Version Ultrasonic Pest & Insect Repeller, Ultrasonic Repellent for Roach, Rodent, Mouse, Bugs, Mosquito, Mice, Spider, Ant,Electronic Plug in Pest Control,2 Mode Switching,6 Packs",electronics,https://m.media-amazon.com/images/I/71OL44g3-UL._AC_UY218_.jpg,$35.99,4.4,1118,"FREE delivery Thu, Dec 12 to Palestinian Territories on $49 of eligible items",0,0
54,3,Walker's Razor Slim Electronic Shooting Earmuffs,electronics,https://m.media-amazon.com/images/I/51wO3UVGlPL._AC_UY218_.jpg,$32.00,4.8,6139,$25.71 delivery,1,0
55,3,"Electronic Drum Set - YUOIOYU Electric Drum Set Roll Up Potable Drum Kit MIDI Practice Drum Pad with Dual Built-in Speaker, Drum Sticks and Pedals,Christmas Birthday Gift for Kids Adult Color-1",electronics,https://m.media-amazon.com/images/I/71pVvZssYVL._AC_UY218_.jpg,$59.99,4.2,533,"Delivery Tue, Dec 17",0,0
56,3,"120 LED Selfie Light, Phone Light, 3000Mah Rechargeable Clip Video Light, Adjusted 3 Light Modes, for Phone, Camera, Laptop, iPad, Light for Phone for Selfie, Video Conference, TikTok, Vlog",electronics,https://m.media-amazon.com/images/I/71auXRgq8IL._AC_UY218_.jpg,$16.86,4.8,21,"Delivery Tue, Dec 17",0,0
57,3,"AODSK Electronic Drum Set,Electric Drum Set for Beginner with 150 Sounds,Drum Set With 4 Quiet Electric Drum Pads,2 Switch Pedal,Drum Throne,Drumsticks,On-Ear Headphones - AED-400",electronics,https://m.media-amazon.com/images/I/61rl7+9Ah3L._AC_UY218_.jpg,$189.60,4.6,334,"Delivery Tue, Dec 17",0,0
58,3,"Practical Electronics for Inventors, Fourth Edition",electronics,https://m.media-amazon.com/images/I/61JtUKEfXQL._AC_UY218_.jpg,$34.07,4.7,2061,"FREE delivery Thu, Dec 12 to Palestinian Territories on $49 of eligible items",1,0
59,3,"Belifu Dual Channel TENS EMS Unit 24 Modes Muscle Stimulator for Pain Relief Therapy, Electronic Pulse Massager Muscle Massager with 10 Pads, Dust-Proof Drawstring Storage Bag, Fastening Cable Ties",electronics,https://m.media-amazon.com/images/I/71i+nWHnBjS._AC_UY218_.jpg,$26.39,4.5,,"Delivery Tue, Dec 17",0,0
60,3,"SHOWPIN 122 in 1 Precision Computer Screwdriver Kit, Laptop Screwdriver Sets with 101 Magnetic Drill Bits, Electronics Tool Kit Compatible for Tablet, PC, iPhone, PS4 Repair",electronics,https://m.media-amazon.com/images/I/81oN38OAm0L._AC_UY218_.jpg,$15.99,4.8,5316,"FREE delivery Thu, Dec 12 to Palestinian Territories on $49 of eligible items",0,0
61,3,"STREBITO Electronics Precision Screwdriver Sets 142-Piece with 120 Bits Magnetic Repair Tool Kit for iPhone, MacBook, Computer, Laptop, PC, Tablet, PS4, Xbox, Nintendo, Game Console",electronics,https://m.media-amazon.com/images/I/81HGJ-wOEzL._AC_UY218_.jpg,$23.79,4.8,15167,"FREE delivery Thu, Dec 12 to Palestinian Territories on $49 of eligible items",1,0
62,3,"Ordilend Keyboard Cleaning Kit Laptop Cleaner, 10-in-1 Computer Screen Cleaning Brush Tool, Multi-Function PC Electronic Cleaner Kit for iPad iPhone Pro Earbuds Camera Monitor, All-in-One with Patent",electronics,https://m.media-amazon.com/images/I/71AJth10-BL._AC_UY218_.jpg,$13.58,4.6,1720,"FREE delivery Thu, Dec 12 to Palestinian Territories on $49 of eligible items",1,0
63,3,"Circuit Engineering: The Beginner's Guide to Electronic Circuits, Semi-Conductors, Circuit Boards, and Basic Electronics",electronics,https://m.media-amazon.com/images/I/81NBN-Tto+L._AC_UY218_.jpg,$0.00,3.8,86,3.8 out of 5 stars,0,0
64,3,"2024 Upgraded Version Ultrasonic Pest & Insect Repeller, Ultrasonic Repellent for Roach, Rodent, Mouse, Bugs, Mosquito, Mice, Spider, Ant,Electronic Plug in Pest Control,3 Mode Switching,6 Packs",electronics,https://m.media-amazon.com/images/I/718dSrF9gPL._AC_UY218_.jpg,$32.99,4.3,,"FREE delivery Sun, Dec 15 to Palestinian Territories on $49 of eligible items",1,0
65,3,"Zeroffi Starlink Mini Case for Travel, Starlink Mini Carrying Case for Starlink Mini and Accessories",electronics,https://m.media-amazon.com/images/I/714xT3kIxCL._AC_UY218_.jpg,$49.99,4.8,8,"Delivery Thu, Dec 12 to Palestinian Territories",0,0
66,3,"RJ45 Ethernet Splitter Cable, Splitter 1 to 3 Port, Ethernet Switch Adapter Cable for Cat5/5e/6/7/8Cable",electronics,https://m.media-amazon.com/images/I/51P0aYA7RIL._AC_UY218_.jpg,$7.99,3.2,88,"Delivery Thu, Dec 12 to Palestinian Territories",0,0
67,4,TBS6909X DVB-S/ S2/ S2X 8 Tuner PCI Express Digital Satellite TV Card for Live TV,electronics,https://m.media-amazon.com/images/I/61glvVnrxUS._AC_UY218_.jpg,$310.00,4.5,46,"FREE delivery Wed, Dec 18 to Palestinian Territories",0,0
68,4,Handheld Inkjet Printer Gun Z10 Printing Height 0.08-0.5 Inch Inkjet Coder with Original Fast-Drying Ink for Text QRCode/Barcode/Batch Number/Label/Image/Date Printer for Any Surface,electronics,https://m.media-amazon.com/images/I/71XaxFsDjrL._AC_UY218_.jpg,$149.99,3.5,12,"Delivery Tue, Dec 17",0,0
69,4,"SHOWPIN 122 in 1 Precision Computer Screwdriver Kit, Laptop Screwdriver Sets with 101 Magnetic Drill Bits, Electronics Tool Kit Compatible for Tablet, PC, iPhone, PS4 Repair",electronics,https://m.media-amazon.com/images/I/81oN38OAm0L._AC_UY218_.jpg,$15.99,4.8,5316,"FREE delivery Thu, Dec 12 to Palestinian Territories on $49 of eligible items",0,0
70,4,"Ordilend Keyboard Cleaning Kit Laptop Cleaner, 10-in-1 Computer Screen Cleaning Brush Tool, Multi-Function PC Electronic Cleaner Kit for iPad iPhone Pro Earbuds Camera Monitor, All-in-One with Patent",electronics,https://m.media-amazon.com/images/I/71AJth10-BL._AC_UY218_.jpg,$13.58,4.6,1720,"FREE delivery Thu, Dec 12 to Palestinian Territories on $49 of eligible items",1,0
71,4,"10.1"" Digital Picture Frame 1280x800 IPS HD Touch Screen Digital Frame, Auto-Rotate,16GB Storage,Digital Photo Frame Easy Via Uhale App Send Photos and Videos-Gift to Family and Friends",electronics,https://m.media-amazon.com/images/I/81dCIZalepL._AC_UY218_.jpg,$44.17,4.8,52,"FREE delivery Thu, Dec 12 to Palestinian Territories",0,0
72,4,"1000x Microscope-Handheld Digital Microscope for Children with 2"" LCD Screen,Pocket Microscope for Kids with 8 Adjustable LED Lights,Coins Electronic Magnifier Camera,USB to PC,Including 32GB SD Card",electronics,https://m.media-amazon.com/images/I/71mwGyO8EoL._AC_UY218_.jpg,$63.99,,,"Delivery Tue, Dec 17",0,0
73,4,"Hypershot Electronic Tabletop Hockey Game | 5 Games in 1 | Music, Lights, and Sounds | Ages 8 and Up | for 1 to 2 Players | Kids Board Games",electronics,https://m.media-amazon.com/images/I/81FpdV1RqZL._AC_UY218_.jpg,$15.95,4.6,37,"$27.29 delivery Wed, Dec 18",0,0
74,4,"Circuit Engineering: The Beginner's Guide to Electronic Circuits, Semi-Conductors, Circuit Boards, and Basic Electronics",electronics,https://m.media-amazon.com/images/I/81NBN-Tto+L._AC_UY218_.jpg,$0.00,3.8,86,3.8 out of 5 stars,0,0
75,4,"2024 Upgraded Version Ultrasonic Pest & Insect Repeller, Ultrasonic Repellent for Roach, Rodent, Mouse, Bugs, Mosquito, Mice, Spider, Ant,Electronic Plug in Pest Control,3 Mode Switching,6 Packs",electronics,https://m.media-amazon.com/images/I/718dSrF9gPL._AC_UY218_.jpg,$32.99,4.3,,"FREE delivery Sun, Dec 15 to Palestinian Territories on $49 of eligible items",1,0
76,4,TEEHO TE001 Keyless Entry Door Lock with Keypad - Smart Deadbolt Lock for Front Door with 2 Keys - Auto Lock - Easy Installation - Satin Nickel,electronics,https://m.media-amazon.com/images/I/61rh+V13eaL._AC_UY218_.jpg,$32.78,4.5,15989,"FREE delivery Thu, Dec 12 to Palestinian Territories on $49 of eligible items",1,0
77,4,"FEDAI ND Venus in Ear Monitor Headphones, 10mm Double Magnetic Dynamic Driver IEM Earphones, HiFi Wired Gaming Earbuds, 2 Pin Detachable Cable (with Mic, White, 3.5mm Plug)",electronics,https://m.media-amazon.com/images/I/61ijozyG6XL._AC_UY218_.jpg,$14.99,,,FREE delivery to Palestinian Territories on $49 of eligible items,0,0
78,4,"Electronic Drum Set - YUOIOYU Electric Drum Set Roll Up Potable Drum Kit MIDI Practice Drum Pad with Dual Built-in Speaker, Drum Sticks and Pedals,Christmas Birthday Gift for Kids Adult Color-1",electronics,https://m.media-amazon.com/images/I/71pVvZssYVL._AC_UY218_.jpg,$59.99,4.2,533,"Delivery Tue, Dec 17",0,0
79,4,"travel inspira Luggage Scale, Portable Digital Hanging Baggage Scale for Travel, Suitcase Weight Scale with Rubber Paint, 110 Pounds, Battery Included",electronics,https://m.media-amazon.com/images/I/618h550nUsL._AC_UY218_.jpg,$7.80,4.7,29640,"Delivery Tue, Dec 17",1,0
80,4,Make: Electronics: Learning by Discovery: A hands-on primer for the new electronics enthusiast,electronics,https://m.media-amazon.com/images/I/71v+rxNWFEL._AC_UY218_.jpg,$18.31,4.8,587,FREE delivery to Palestinian Territories on $49 of eligible items,1,0
81,4,"Iron-Man MK 5 Wearable Electronic Helmet: Voice & Remote Controlled, LED Eyes & Sound Effects, Perfect Super Hero Movie Prop and Figure for Adults Collectors- Ideal Gift for Halloween & Christmas",electronics,https://m.media-amazon.com/images/I/71Y8uLU7tcL._AC_UY218_.jpg,$224.00,4.6,11,"FREE delivery Sun, Dec 15 to Palestinian Territories",0,0
82,4,"Precision Screwdriver Set, 150 in 1 Electronics Tool Kit with 120 Bits Magnetic Screwdriver Set & 30-bit Tool Set Handy Repair Tool for Computer Phone Watch Camera Laptop, Black",electronics,https://m.media-amazon.com/images/I/61sq5WtOCpL._AC_UY218_.jpg,$29.99,4.6,8,"Delivery Sun, Dec 15 to Palestinian Territories",0,0
83,4,Hasbro Gaming Simon Handheld Electronic Memory Game With Lights and Sounds for Kids Ages 8 and Up,electronics,https://m.media-amazon.com/images/I/81P7iHZ+1lL._AC_UY218_.jpg,$19.67,4.7,25523,"Delivery Tue, Dec 17",0,0
84,4,"Transcutaneous Electronic Nerve Stimulator, Foot Stimulator Pad with Remote Control",electronics,https://m.media-amazon.com/images/I/71Z6XK+UHZL._AC_UY218_.jpg,$31.95,4.7,31,"Delivery Tue, Dec 17",0,0
85,4,"P6 Electronic Chess, Computer Chess Board, Electronic Chess Board Chess Computer Talking Smart Chess Board Electronic Chess Set Magnetic Chess Game with LED for Kids & Adults Learn Chess",electronics,https://m.media-amazon.com/images/I/71uIixoNZiL._AC_UY218_.jpg,$119.99,4.4,59,"Delivery Tue, Dec 17",0,0
86,4,CAHAYA Electronic Drum Pad Set: Dual Speakers Portable 9-Pads Electric Practice Drum MIDI Game Link 4 Hours Life Great Gift for Music Beginners,electronics,https://m.media-amazon.com/images/I/81ab0+n0UDL._AC_UY218_.jpg,$29.99,4.6,8,"Delivery Tue, Dec 17",0,0
